TFIDF
               	100554newsML.txt  100593newsML.txt  100618newsML.txt  130040newsML.txt  137871newsML.txt  
offer          	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
offic          	|  0.000000000000   0.157136231124   0.000000000000   0.000000000000   0.000000000000   
offshor        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
oper           	|  0.095600264768   0.000000000000   0.000000000000   0.117576168178   0.122775435673   
outstand       	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
owe            	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
paper          	|  0.000000000000   0.157136231124   0.000000000000   0.000000000000   0.000000000000   
pari           	|  0.063733509845   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
particip       	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
patient        	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
patrick        	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
pay            	|  0.080421956560   0.000000000000   0.026366766409   0.032969593103   0.034427522344   
payment        	|  0.053614637706   0.022131952912   0.000000000000   0.032969593103   0.034427522344   
penc           	|  0.095600264768   0.000000000000   0.000000000000   0.117576168178   0.122775435673   
percent        	|  0.095600264768   0.000000000000   0.000000000000   0.117576168178   0.122775435673   
perform        	|  0.053614637706   0.000000000000   0.026366766409   0.032969593103   0.034427522344   
place          	|  0.000000000000   0.031694130465   0.037758608010   0.000000000000   0.000000000000   
plan           	|  0.063733509845   0.000000000000   0.000000000000   0.117576168178   0.122775435673   
plc            	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
point          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
polit          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
politician     	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
ponsol         	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
posit          	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
potenti        	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
pound          	|  0.181387668687   0.037438128037   0.111504210750   0.111541882707   0.145592889457   
presid         	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
press          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
presum         	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
presumpt       	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
pretti         	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
primarili      	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
prime          	|  0.000000000000   0.117852173343   0.000000000000   0.000000000000   0.000000000000   
probabl        	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
proceed        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
profit         	|  0.026807318853   0.000000000000   0.026366766409   0.032969593103   0.034427522344   
prosecut       	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
prospect       	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
provid         	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
publish        	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
purpos         	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
question       	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
rais           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
rake           	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
rang           	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
reap           	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
recognis       	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
reduc          	|  0.063733509845   0.000000000000   0.000000000000   0.117576168178   0.122775435673   
reject         	|  0.038389502478   0.095082391396   0.000000000000   0.000000000000   0.000000000000   
rel            	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
remov          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
report         	|  0.080421956560   0.000000000000   0.026366766409   0.032969593103   0.034427522344   
repres         	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
request        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
requir         	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
respond        	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
restructur     	|  0.026807318853   0.000000000000   0.052733532817   0.098908779308   0.103282567033   
result         	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
resum          	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
return         	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
revenu         	|  0.038389502478   0.031694130465   0.000000000000   0.000000000000   0.000000000000   
risk           	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
risk-fre       	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
roll           	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
rout           	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
royal          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
rule           	|  0.000000000000   0.117852173343   0.000000000000   0.000000000000   0.000000000000   
run            	|  0.038389502478   0.000000000000   0.000000000000   0.000000000000   0.049302038059   
safekeep       	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
said           	|  0.204061127273   0.168471576164   0.156105895050   0.223083765415   0.232948623132   
sale           	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
salomon        	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
say            	|  0.000000000000   0.000000000000   0.093601642767   0.000000000000   0.000000000000   
scale          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
scenario       	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
scotland       	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
scratch        	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
search         	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
secret         	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
secur          	|  0.038389502478   0.000000000000   0.075517216021   0.000000000000   0.000000000000   
seen           	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
seiz           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
senior         	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
sent           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
seriou         	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
seven          	|  0.038389502478   0.031694130465   0.000000000000   0.000000000000   0.000000000000   
sfo            	|  0.000000000000   0.196420288906   0.000000000000   0.000000000000   0.000000000000   
share          	|  0.063733509845   0.000000000000   0.000000000000   0.117576168178   0.122775435673   
sharehold      	|  0.223067284458   0.000000000000   0.000000000000   0.235152336357   0.245550871345   
signific       	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
silvio         	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
simon          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
simultan       	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
small          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
sold           	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
sourc          	|  0.000000000000   0.031694130465   0.037758608010   0.000000000000   0.000000000000   
specul         	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
speedi         	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
spring         	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
stabil         	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
stabilis       	|  0.095165597630   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
staff          	|  0.000000000000   0.000000000000   0.093601642767   0.000000000000   0.000000000000   
stage          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
stanley        	|  0.000000000000   0.000000000000   0.140402464151   0.000000000000   0.000000000000   
state          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
statement      	|  0.031866754923   0.026308991334   0.000000000000   0.000000000000   0.040925145224   
steadi         	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
stem           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
step           	|  0.000000000000   0.000000000000   0.093601642767   0.000000000000   0.000000000000   
stock          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
stream         	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
strengthen     	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
strong         	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
submit         	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
subscrib       	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
substanti      	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
succeed        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
success        	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
sum            	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
surreptiti     	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
suspect        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
suspend        	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
sustain        	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
swap           	|  0.063733509845   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
syndic         	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
taken          	|  0.026807318853   0.000000000000   0.026366766409   0.032969593103   0.034427522344   
talk           	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
term           	|  0.038389502478   0.000000000000   0.000000000000   0.000000000000   0.049302038059   
thought        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
throw          	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
time           	|  0.038389502478   0.000000000000   0.037758608010   0.000000000000   0.000000000000   
today          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
told           	|  0.095165597630   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
total          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
trade          	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
tradit         	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
transfer       	|  0.000000000000   0.117852173343   0.000000000000   0.000000000000   0.000000000000   
transit        	|  0.000000000000   0.000000000000   0.093601642767   0.000000000000   0.000000000000   
treat          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
trial          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
tsb            	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
tuesday        	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
tunnel         	|  0.063733509845   0.000000000000   0.000000000000   0.078384112119   0.081850290448   
tv             	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
tycoon         	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
u.s.           	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
uncertain      	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
uncertainti    	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
underway       	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
union          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
unit           	|  0.000000000000   0.000000000000   0.140402464151   0.000000000000   0.000000000000   
unlik          	|  0.000000000000   0.031694130465   0.037758608010   0.000000000000   0.000000000000   
unpaid         	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
unspecif       	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
urg            	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
use            	|  0.000000000000   0.117852173343   0.000000000000   0.000000000000   0.000000000000   
volum          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
want           	|  0.095165597630   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
warrant        	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
wednesday      	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
week           	|  0.031866754923   0.000000000000   0.000000000000   0.117576168178   0.122775435673   
welcom         	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
wide           	|  0.026807318853   0.022131952912   0.000000000000   0.032969593103   0.034427522344   
wide-rang      	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
wipe           	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
work           	|  0.026807318853   0.000000000000   0.026366766409   0.032969593103   0.034427522344   
worker         	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
worldwid       	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
worth          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
wrangl         	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
wrestl         	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
year           	|  0.160843913119   0.044263905824   0.000000000000   0.032969593103   0.034427522344   
